"Tipo de actividad","Duración","Desde","Hasta","Comentario"
"Cepillar dientes","00:06","2019-03-01 22:59","2019-03-01 23:05",
"Tiempo en pareja","01:43","2019-03-01 20:45","2019-03-01 22:29",
"Películas","01:43","2019-03-01 20:45","2019-03-01 22:29",
"Comer","00:17","2019-03-01 20:28","2019-03-01 20:45",
"Internet","00:41","2019-03-01 19:46","2019-03-01 20:28",
"Transporte público","00:46","2019-03-01 18:58","2019-03-01 19:45",
"Comer","00:45","2019-03-01 11:55","2019-03-01 12:41",""
"Trabajar","09:49","2019-03-01 09:07","2019-03-01 18:57",
"Leer Papers","00:29","2019-03-01 08:26","2019-03-01 08:56",
"Transporte público","00:47","2019-03-01 08:19","2019-03-01 09:07",
"Comer","00:23","2019-03-01 07:46","2019-03-01 08:10",""
"Meditar","00:14","2019-03-01 07:15","2019-03-01 07:30",
"Dormir","07:15","2019-03-01 00:00","2019-03-01 07:15",""
"Bañarse","00:16","2019-02-28 22:13","2019-02-28 22:29",
"Leer","00:36","2019-02-28 21:34","2019-02-28 22:10",
"Tiempo en pareja","00:35","2019-02-28 20:53","2019-02-28 21:29",""
"Comer","00:15","2019-02-28 20:31","2019-02-28 20:46",""
"Lavar platos","00:33","2019-02-28 19:58","2019-02-28 20:31",
"Cocinar","00:34","2019-02-28 19:57","2019-02-28 20:31",
"Leer Papers","00:21","2019-02-28 19:24","2019-02-28 19:45",
"Transporte público","00:27","2019-02-28 19:23","2019-02-28 19:50",
"Comer","00:28","2019-02-28 12:39","2019-02-28 13:08",
"Trabajar","09:49","2019-02-28 09:16","2019-02-28 19:05",
"Transporte público","00:54","2019-02-28 08:21","2019-02-28 09:16",
"Comer","00:08","2019-02-28 07:50","2019-02-28 07:59",
"Dormir","07:34","2019-02-28 00:00","2019-02-28 07:35",""
"Leer","00:25","2019-02-27 22:12","2019-02-27 22:37",""
"Tiempo en pareja","00:35","2019-02-27 21:37","2019-02-27 22:12",""
"Comer","00:29","2019-02-27 20:38","2019-02-27 21:08",
"Lavar platos","00:12","2019-02-27 20:20","2019-02-27 20:32",""
"Transporte público","00:26","2019-02-27 19:17","2019-02-27 19:44",
"Comer","00:31","2019-02-27 12:18","2019-02-27 12:50",
"Trabajar","09:48","2019-02-27 09:28","2019-02-27 19:17",""
"Transporte público","00:50","2019-02-27 08:33","2019-02-27 09:23",
"Cepillar dientes","00:05","2019-02-27 08:15","2019-02-27 08:20",
"Comer","00:15","2019-02-27 07:50","2019-02-27 08:05",""
"Pesarse","00:01","2019-02-27 07:43","2019-02-27 07:44",""
"Bañarse","00:14","2019-02-27 07:28","2019-02-27 07:43",
"Dormir","07:28","2019-02-27 00:00","2019-02-27 07:28",""
"Cepillar dientes","00:10","2019-02-26 22:42","2019-02-26 22:53",
"Leer","00:41","2019-02-26 22:11","2019-02-26 22:53",
"Internet","00:11","2019-02-26 22:00","2019-02-26 22:11",""
"Comer","00:08","2019-02-26 21:38","2019-02-26 21:47",
"Cocinar","00:32","2019-02-26 21:05","2019-02-26 21:37",
"Tiempo en pareja","01:20","2019-02-26 19:45","2019-02-26 21:05",""
"Limpiar y ordenar","00:22","2019-02-26 19:19","2019-02-26 19:42",
"Transporte público","00:36","2019-02-26 18:39","2019-02-26 19:16",
"Comer","00:23","2019-02-26 12:01","2019-02-26 12:25",""
"Trabajar","09:09","2019-02-26 09:16","2019-02-26 18:25",
"Leer Papers","00:25","2019-02-26 08:35","2019-02-26 09:00",""
"Transporte público","00:44","2019-02-26 08:26","2019-02-26 09:11",
"Cepillar dientes","00:06","2019-02-26 08:16","2019-02-26 08:23",""
"Comer","00:19","2019-02-26 07:50","2019-02-26 08:10",
"Bañarse","00:11","2019-02-26 07:36","2019-02-26 07:48",
"Dormir","07:36","2019-02-26 00:00","2019-02-26 07:36",""
"Leer","00:35","2019-02-25 21:51","2019-02-25 22:26",""
"Cepillar dientes","00:05","2019-02-25 21:46","2019-02-25 21:51",
"Tiempo en pareja","01:12","2019-02-25 20:26","2019-02-25 21:38",
"Películas","01:12","2019-02-25 20:26","2019-02-25 21:38",
"Comer","00:11","2019-02-25 20:14","2019-02-25 20:25",""
"Transporte público","00:42","2019-02-25 18:57","2019-02-25 19:40",
"Comer","00:25","2019-02-25 11:33","2019-02-25 11:59",
"Trabajar","09:21","2019-02-25 09:32","2019-02-25 18:53",
"Transporte público","00:59","2019-02-25 08:31","2019-02-25 09:31",
"Cepillar dientes","00:14","2019-02-25 08:14","2019-02-25 08:28",
"Comer","00:12","2019-02-25 07:49","2019-02-25 08:02",
"Cocinar","00:19","2019-02-25 07:30","2019-02-25 07:49",""
"Dormir","07:30","2019-02-25 00:00","2019-02-25 07:30",""
"Cepillar dientes","00:04","2019-02-24 22:12","2019-02-24 22:16",
"Leer","01:13","2019-02-24 21:13","2019-02-24 22:27",""
"Tiempo en pareja","01:17","2019-02-24 20:54","2019-02-24 22:12",
